title,url,authors,year,journal,abstract,citations
Makingsense of non-Hermitian Hamiltonians,https://iopscience.iop.org/article/10.1088/0034-4885/70/6/R03/meta,CM Bender- Reports on Progress in Physics,2007,iopscience.iop.org,"… S matrix, which fails to conserve probability andmakesa hash of the physical interpretation.’The … We will show that the Hermiticity requirement (1) may be replaced by theanalogousbut …",3592
[BOOK][B]Science and method,https://books.google.com/books?hl=en&lr=&id=QPXa2UgysLQC&oi=fnd&pg=PA5&dq=analogy+making&ots=PNq6EFPAt4&sig=9jd8KND3_mnJY18z2oOwpBjF368,H Poincaré,2003,books.google.com,"… are longer, but which are, after all, only accumulations of short arguments exactlyanalogousto those theymakeso easily. Is it necessary to add that mathematicians themselves are …",3478
Cognitive apprenticeship:Makingthinking visible,http://www.psy.lmu.de/isls-naples/intro/all-webinars/collins/cognitive-apprenticeship.pdf,A Collins,1991,psy.lmu.de,"… is a model of instruction that works tomakethinking visible. … For example, students areunable tomakeuse of potential … Tomakereal differences in students' skill, we need both to …",3223
Thermalization and its mechanism for generic isolated quantum systems,https://www.nature.com/articles/nature06838,M Rigol,2008,nature.com,"… However, it is not obvious what feature of many-body quantum mechanicsmakesquantumthermalization possible in a senseanalogousto that in which dynamical chaosmakes…",3501
[BOOK][B]Computing machinery and intelligence,https://link.springer.com/chapter/10.1007/978-1-4020-6710-5_3,AM Turing- 2009,2009,Springer,"… One could say the gender-based imitation game is merely ananalogy, serving the purposeofmakingthe paper easier to understand. But in a paper that starts with the sentence, “Can …",27726
"Reading acquisition, developmental dyslexia, and skilled reading across languages: a psycholinguistic grain size theory.",https://psycnet.apa.org/fulltext/2004-22408-001.html,JC Ziegler,2005,psycnet.apa.org,"… This variationmakesit likely that …analogygroup could also read new words requiringletter-recoding skills, the letter-recoding group could not read new words requiring rhymeanalogy…",4209
[BOOK][B]Makingsocial science matter: Why social inquiry fails and how it can succeed again,https://books.google.com/books?hl=en&lr=&id=yVBXPf50EV0C&oi=fnd&pg=PP11&dq=analogy+making&ots=7yUIm3a98p&sig=fwUuZON9ONA4enDeXGrDKCK27ko,B Flyvbjerg- 2001,2001,books.google.com,"MakingSocial Science Matter presents an exciting new approach to social science, includingtheoretical argument, methodological guidelines, and examples of practical application. …",10230
[BOOK][B]Space is the machine: a configurational theory of architecture,https://discovery.ucl.ac.uk/id/eprint/3881/,B Hillier- 2007,2007,discovery.ucl.ac.uk,"… not onlymakesense of the relation between form and function in buildings, but also we canmake… The physical process of drawing a boundary isanalogousto naming a category, since …",7711
The therapy of desire: Theory and practice in Hellenistic ethics,https://www.torrossa.com/gs/resourceProxy?an=5564770&publisher=FZO137,MC Nussbaum,2013,torrossa.com,"… of emotionsmakesgood …makesethics look less disreputably different,makesit seem lesspeculiar that, speaking from within human life, it should claim truth.16 But the medicalanalogy…",3853
[BOOK][B]The politics of crisis management,https://books.google.com/books?hl=en&lr=&id=P9dsDQAAQBAJ&oi=fnd&pg=PR7&dq=analogy+making&ots=yMpaQqgL1J&sig=8DsxvAY1eDG9Pgvw5ZiyyRi2JOk,A Boin,2017,books.google.com,"…makethe most of the opportunities associated with – crisis. The distinctive contribution weseek tomakeis … They draw upon differentanalogiesand metaphors,makedifferent inferences …",2712
[BOOK][B]Makingsense of Marx,https://books.google.com/books?hl=en&lr=&id=I14p3dFLerYC&oi=fnd&pg=PR13&dq=analogy+making&ots=IEn9Va8v91&sig=a50uGelLnHJDQHjCmJ_ebLktnkE,J Elster- 1985,1985,books.google.com,"… Typically, this would either be someanalogyto natural selection, explaining the presenceof patterns of behaviour by the differential survival of the entities exhibiting them, or some kind …",3064
Status quo bias in decisionmaking,https://link.springer.com/article/10.1007/bf00055564,W Samuelson,1988,Springer,"… more general category, decisionmakingunder uncertainty. Most of … This article reports theresults of a series of decision-making… cases are described byanalogousequations with appro…",8572
Neuronlike adaptive elements that can solve difficult learning control problems,https://ieeexplore.ieee.org/abstract/document/6313077/,AG Barto,1983,ieeexplore.ieee.org,… state of development and clearly could be extended to include a mechanismanalogousto our ACE. Wemakecomparisons with the performance of the boxes system because it pro …,5333
The children's machine: Rethinking school in the age of the computer,https://books.google.com/books?hl=en&lr=&id=xBturibL1UAC&oi=fnd&pg=PA455&dq=analogy+making&ots=EiIJgdH07N&sig=-tjWR_bzFJudEgbPf_lTP_hAFQ4,S Papert - New York,1993,books.google.com,…Analogieswith two events in the history of aviation—a case of true megachange-will clarifymy thinking. People who dreamed aboutmakingflying … This was not the way tomakea flying …,4650
A framework for studying the neurobiology of value-based decisionmaking,https://www.nature.com/articles/nrn2357,A Rangel,2008,nature.com,"… decisionmaking. It has three components: first, it divides decision-makingcomputations into…Analogousresults have been found for negative experiences: in humans, subjective reports …",2818
Makingconnections: Teaching and the human brain.,https://eric.ed.gov/?id=ED335141,RN Caine,1991,ERIC,"… We begin with ananalogythat can guide us in placing brain ""facts"" in perspective. Bycomparing the brain to a city, we can gain a better sense of how truly complex the brain is. …",3722
Individual decisionmaking,https://www.torrossa.com/gs/resourceProxy?an=5623054&publisher=FZO137#page=607,C Camerer- The handbook of experimental economics,1995,torrossa.com,"I will review recent experimental studies of individual decisionmaking, with their implicationsfor economics in mind.* Decisionmakingis increasingly important for economics for at least …",2072
Heuristic decisionmaking,https://www.annualreviews.org/content/journals/10.1146/annurev-psych-120709-145346/?crawler=true,G Gigerenzer,2011,annualreviews.org,… question (“Which heuristics do people use in which situations?”) and the prescriptivequestion (“When should people rely on a given heuristic rather than a complex strategy tomake…,5739
"[BOOK][B]Advertising the American dream:Makingway for modernity, 1920-1940",https://books.google.com/books?hl=en&lr=&id=pa3REAAAQBAJ&oi=fnd&pg=PR15&dq=analogy+making&ots=xhzUhiqEwX&sig=9Lq_8Gultd4ZdzL6yBOqPaLClHE,R Marchand,2023,books.google.com,"… Of course all thismakesquite a lot of washing, but I find P and Ga wonderful help. I do farless rubbing than I did be- fore and the clothes look nicer. ""Colors, I find, stay beauti fully clean …",3682
"[BOOK][B]Induction: Processes of inference, learning, and discovery",https://books.google.com/books?hl=en&lr=&id=Z6EFBaLApE8C&oi=fnd&pg=PR15&dq=analogy+making&ots=2sXvojOPIN&sig=VZqGMv_eRQqlWDnvCVBmLsGY1Nk,JH Holland,1986,books.google.com,… In chapter 9 we will argue that people do notmakemuch use of purely syntactic rules suchas … In chapter 10 we describe the role ofanalogyin problem solving and learning. Chapter 11 …,4718
The extended mind,https://www.jstor.org/stable/3328150,A Clark,1998,JSTOR,"… Externalists oftenmakeanalogiesinvolving external features in coupled systems, and appealto the arbitrariness of boundaries between brain and environment. But these intuitions sit …",9614
Dynamic graph cnn for learning on point clouds,https://dl.acm.org/doi/abs/10.1145/3326362,Y Wang,2019,dl.acm.org,"…Makinganalogyto convolution along images, we regard xi as the central pixel and {xj : (i,j) ∈ E} as a patch around it (see Figure 2). Overall, given an F-dimensional point cloud with n …",7492
Deep networks with stochastic depth,https://link.springer.com/chapter/10.1007/978-3-319-46493-0_39,G Huang,2016,Springer,"… features; it alsomakesananalogywith training an ensemble of … Different from Dropout, wemakethe network shorter instead … (an observation we alsomakewith the ImageNet data set), …",2979
Rhetoric of the Image,https://books.google.com/books?hl=en&lr=&id=1Oabgpg7LcAC&oi=fnd&pg=PA135&dq=analogy+making&ots=skOHMwTDZT&sig=sbnuY5RRxX05Ekl9QE95SirFnZ8,R Barthes - Visual culture: The reader,1999,books.google.com,… We know that linguists refuse the status of language to all communication byanalogy-fromthe'… We will start bymakingit considerably easier for ourselves: we will only study the …,4427
[BOOK][B]The rhetoric of economics,https://books.google.com/books?hl=en&lr=&id=RDwsPG2KmXYC&oi=fnd&pg=PR7&dq=analogy+making&ots=rfkWLyjywH&sig=PHbDrcZ2VJCfe3rFlOePqKyYt2w,DN McCloskey,1998,books.google.com,"… Rhetoric, tomakea little joke with the definition of economics that helpedmakeit narrow and… Above all, there isanalogy. That the Law of Demand is true for purchases of ice cream and …",5527
[BOOK][B]Measure and category: A survey of theanalogiesbetween topological and measure spaces,https://books.google.com/books?hl=en&lr=&id=Va_aBwAAQBAJ&oi=fnd&pg=PA1&dq=analogy+making&ots=rzm9lzAKiA&sig=UGhvD2O6CX6ZJuTLrnKZSc_uvwg,JC Oxtoby,2013,books.google.com,… Neither Theorem 5.6 nor this generalization can be applied to measures on the line unlesswemakesome hypothesis about c. If we assume the continuum hypothesis (which asserts …,2591
[BOOK][B]Attention and interpretation: A scientific approach to insight in psycho-analysis and groups,https://www.taylorfrancis.com/books/mono/10.4324/9781315014067/attention-interpretation-bion,WR Bion,2013,taylorfrancis.com,"… stand this book although I have done my best tomakeit simple. Any psycho-analyst who is… tate themakingof an interpretation; the grid is of a different category altogether,analogousto …",8051
Embeddedness in themakingof financial capital: How social relations and networks benefit firms seeking financing,https://journals.sagepub.com/doi/abs/10.1177/000312249906400402,B Uzzi- American sociological review,1999,journals.sagepub.com,"… In a fashionanalogousto …making,"" a phrase that denotes their view of how social tiesfurnish governance arrangements and promote transfers of private resources, which in turnmake…",3098
When and where do we apply what we learn?: A taxonomy for far transfer.,https://psycnet.apa.org/fulltext/2002-01514-006.html,SM Barnett,2002,psycnet.apa.org,"… In this article, we propose a first step towardmakingsense of the vast literature on transfer… as much effort tomakesense of the nearanalogyas they did for the faranalogy. Also, Reed …",3068
[BOOK][B]The invention of women:Makingan African sense of western gender discourses,https://books.google.com/books?hl=en&lr=&id=X3JSjO6_UvIC&oi=fnd&pg=PR13&dq=analogy+making&ots=qlABY3Yp_0&sig=6QdQ18ipf5n-UKraT9iUvIkqz_8,O Oyěwùmí- 1997,1997,books.google.com,"… It became clear to me that, tomakeananalogywith Michel Foucault's explication of thehistory of sexuality, the history of gender — that is, the history of what functions in academic …",4030
