title,url,authors,year,journal,abstract,citations
[BOOK][B]Thinking in time: The uses of history for decision makers,https://books.google.com/books?hl=en&lr=&id=zsLyWT70YSEC&oi=fnd&pg=PT2&dq=analogy+making&ots=qTOsWiTdRL&sig=hQPBv3lVmTua9oOV3IVNkOnrdhA,RE Neustadt,2011,books.google.com,… The purpose of this preface is tomakeplain what we undertake-and why. For most of our …During the initial meetinganalogiesmakean appearance. Saying that the Russians may be …,2294
"Holonomy, the quantum adiabatic theorem, and Berry's phase",https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.51.2167,B Simon- Physical Review Letters,1983,APS,"… Since Berry is talking about integrating (e, lfs) along curves which hemakesanalogousto a vector potential, he talks about magnetic monopoles. Since we only care about (de, de) …",2378
[BOOK][B]Fostering critical reflection in adulthood,https://commons.ln.edu.hk/cgi/viewcontent.cgi?filename=0&article=1123&context=osl_conference&type=additional,J Mezirow,1990,commons.ln.edu.hk,"… Tomake„meaning‟ means tomakesense of an experience, wemakean interpretation ofit… By this definition, reflection would includemakinginferences, generalizations,analogies, …",6313
On the origin of gravity and the laws of Newton,https://link.springer.com/article/10.1007/JHEP04(2011)029,E Verlinde- Journal of High Energy Physics,2011,Springer,"… We can’t resistmakingtheanalogywith a situation in which we would have developed a …The derivation of the Einstein equations presented in this paper isanalogousto previous works, …",2321
[BOOK][B]The democratic dilemma: Can citizens learn what they need to know?,https://books.google.com/books?hl=en&lr=&id=2Vv6BhLC6HUC&oi=fnd&pg=PR9&dq=analogy+making&ots=UqpYi7LcXH&sig=jp2eV0NvsKXrprD3oz-2lwSayC8,A Lupia,1998,books.google.com,"… people frommakingreasoned choices. Of course, we are not the first analysts tomakethis… We explain this phenomenon by mixing a social scienceanalogy(the stock market) with the …",3346
[BOOK][B]Universe of the mind: A semiotic theory of culture,https://books.google.com/books?hl=en&lr=&id=0-xSQHU1YNYC&oi=fnd&pg=PR7&dq=analogy+making&ots=jCC-K-dele&sig=GWUF_RkGEoW6tDWKVYouKB_Fdmo,ЮМ Лотман,1990,books.google.com,"… re-construction of the store of procedures which go tomakeup the social fabric in which …worked out the concept of the semiosphere, inanalogywith the concept of the biosphere. The …",3427
Low frequency plasmons in thin-wire structures,https://iopscience.iop.org/article/10.1088/0953-8984/10/22/007/meta,JB Pendry,1998,iopscience.iop.org,… We shall first show that a simple analytic argument rapidly develops the plasmaanalogy.Then wemakesome more serious calculations by solving Maxwell’s equations on a computer …,2159
[BOOK][B]Physical and computational aspects of convective heat transfer,https://books.google.com/books?hl=en&lr=&id=JQX8CAAAQBAJ&oi=fnd&pg=PA1&dq=analogy+making&ots=QA9T5GT13_&sig=q803jUUGVK8gwatptPstoRxeEqM,T Cebeci,2013,books.google.com,"… included sufficient information of momentum transfer tomakethe book self-contained. Thisis … Care is required, however, inmakinguse of theseanalogiessince, for example, identical …",2476
The knowledge-creating company,https://www.taylorfrancis.com/chapters/edit/10.4324/9780080505022-16/knowledge-creating-company-ikujiro-nonaka,I Nonaka - The economic impact of knowledge,2009,taylorfrancis.com,"… Understanding knowledge creation as a process ofmakingtacit knowledge explicit-a matterof metaphors,analogies, and models-has direct implications for how a company designs its …",74428
Security without identification: Transaction systems tomakebig brother obsolete,https://dl.acm.org/doi/abs/10.1145/4372.4373,D Chaum - Communications of the ACM,1985,dl.acm.org,"… byanalogyto carbon-lined envelopes, only this time the envelopes would have windows.First, youmakeup … Upon receiving the envelope from you, the organizationmakesa special …",2771
Society in themaking: The study of technology as a tool for sociological analysis,https://books.google.com/books?hl=en&lr=&id=SUCtOwns7TEC&oi=fnd&pg=PA83&dq=analogy+making&ots=RyyH_Ibl1t&sig=BvOTY1UelerZxlgsY7KMrf7HgRI,M Callon - The social construction of technological systems …,1987,books.google.com,"As we noted in the general introduction, many of the recent developments in the social studyof technology consist of detailed empirical analyses of the"" content"" of various technological …",2835
[BOOK][B]Introduction to Logical Theory (Routledge Revivals),https://www.taylorfrancis.com/books/mono/10.4324/9780203828779/introduction-logical-theory-routledge-revivals-strawson,PF Strawson,2012,taylorfrancis.com,"… So we compare the two ways of failing to state facts; and byanalogywith the case of aman whomakesa false statement, we say. of the man who contradicts himself, that he too, …",2707
Anarchy is what statesmakeof it: the social construction of power politics,https://www.cambridge.org/core/journals/international-organization/article/anarchy-is-what-states-make-of-it-the-social-construction-of-power-politics/B03BC7C9AAC5211B6DC319C077C1A854,A Wendt- International organization,1992,cambridge.org,"… a theoretically productiveanalogycan be made between individuals and states. There areat least two justifications for this anthropomorphism. Rhetorically, theanalogyis an accepted …",13168
Data science and its relationship to big data and data-driven decisionmaking,https://www.liebertpub.com/doi/abs/10.1089/big.2013.1508,F Provost,2013,liebertpub.com,"… This is directlyanalogousto an entry-level chemist spending the majority of her time doing… Continuing ouranalogy, the state of data science may be likened to that of chemistry in the …",2589
The role of affect in decisionmaking,http://www.contrib.andrew.cmu.edu/~gl20/GeorgeLoewenstein/Papers_files/pdf/RoleofEffectEmotion.pdf,G Loewenstein,2003,contrib.andrew.cmu.edu,"… Theymakeananalogousmistake when in a hot state and predicting how they will feel orbehave when the heat dissipateswthat is, when they are in a cold state. Such ""bot/cold empathy …",2983
How critical reflection triggers transformative learning,"https://cmapspublic.ihmc.us/rid=1LW06D9V6-26428MK-1Z64/Mezirow's%20chapter,%20How%20Critical%20Refletion%20Triggers%20TL.pdf",J Mezirow - Fostering critical reflection in adulthood,1990,cmapspublic.ihmc.us,"… Tomakemeaning means tomakesense of an experience; wemakean interpretation of it. …By this definition, reflection would includemakinginferences, generaliza- tions,analogies, …",3010
"[BOOK][B]Conflict among nations: Bargaining, decisionmaking, and system structure in international crises",https://books.google.com/books?hl=en&lr=&id=L5d9BgAAQBAJ&oi=fnd&pg=PP1&dq=analogy+making&ots=hwpcx3lIO9&sig=EqEQAhfVhht0OD72W0Clv2Cj5WQ,GH Snyder,2015,books.google.com,"… As factors that affect the outcome of the decision-makingprocess, they are roughlyanalogousinternally to the external factors in the structure and nature of the international system that …",2576
"The knowing organization: How organizations use information to construct meaning, create knowledge andmakedecisions",https://www.sciencedirect.com/science/article/pii/0268401296000205,CW Choo- International journal of information management,1996,Elsevier,"…makesense of change in its environment; to create new knowledge for innovation; and tomake… Finally, in decisionmaking, understanding and knowledge are focused on the selection …",4857
[BOOK][B]The way we think: Conceptual blending and the mind's hidden complexities,https://books.google.com/books?hl=en&lr=&id=FdOLriVyzwkC&oi=fnd&pg=PR12&dq=analogy+making&ots=4zlCjT0ZaF&sig=7ana7hxfdLJlOaXPRIMzhK9Z9wM,G Fauconnier,2008,books.google.com,"… In this book, we argue that conceptual blending underlies andmakespossible all these …you already know is an everydayanalogy. We find such ananalogytrivial because the complex …",12691
Organizational memory,https://journals.aom.org/doi/abs/10.5465/AMR.1991.4278992,JP Walsh,1991,journals.aom.org,"… Although suchanalogiesand metaphors may clarify and extend our thinking about … First,information about the particular stimulus event that triggered the decision-makingprocess is …",5735
An application of soft sets in a decisionmakingproblem,https://core.ac.uk/download/pdf/82179651.pdf,PK Maji,2002,core.ac.uk,… We have used here an almostanalogousrepresentation … of soft set theory in a decisionmakingproblem with the help of rough … We present an ahnostanalogousrepresentation …,2845
A smooth model of decisionmakingunder ambiguity,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-0262.2005.00640.x,P Klibanoff,2005,Wiley Online Library,"… Finally, we remark that it may be helpful to think of another difference between the model inthis paper and models such as CEU, MEU, and α-MEU asanalogousto that between models …",2487
[BOOK][B]How institutions think,https://books.google.com/books?hl=en&lr=&id=EjQzxQw5HLIC&oi=fnd&pg=PR7&dq=analogy+making&ots=r87_V7v7tm&sig=kk1S9-lXXRdiQkd-wGfuQ_xsKr0,M Douglas,1986,books.google.com,"… to put the theme in a new light, tomakeit clearer and more persuasive, and perhaps, at last,… Many subtle and able thinkers are made so nervous by the crude politicalanalogybetween …",9189
Structural crises of adjustment: business cycles,https://carlotaperez.org/wp-content/downloads/publications/theoretical-framework/StructuralCrisesOfAdjustment.pdf,C Freeman,1988,carlotaperez.org,"… theories, whichmakeanalogiesbetween the 1930s and the 1980s. This chapter concentrateson the explanation of these deeper structural crises of adjustment, withoutmakingany …",4863
Structures of a histone deacetylase homologue bound to the TSA and SAHA inhibitors,https://www.nature.com/articles/43710,MS Finnin,1999,nature.com,"… The residues thatmakeup the active site and contact the … Byanalogyto the zinc proteases21 , the carbonyl oxygen of … This isanalogousto the activation of a serine hydroxyl by a …",2326
"[BOOK][B]Production, power, and world order: Social forces in themakingof history",https://books.google.com/books?hl=en&lr=&id=c8qn0iyer8UC&oi=fnd&pg=PR9&dq=analogy+making&ots=5qKZI1HWbN&sig=DfZC81tKcePE9W025A_FM0yUBEs,RW Cox,1987,books.google.com,… and coordinated within itmakesthemanalogousrather than identical to the enterprise labormarket and self-employment modes of capitalist development. Thus in presenting each of …,4443
